ID,VEHICLE,CONFIDENCE,OCR
1,Jeepney,91.0,"2024511-17 10:41:23
"
1,Jeepney,92.0,"2024511-17 10:41:23
"
1,Jeepney,94.0,"2024511-17 10:41:23
"
1,Jeepney,96.0,"2024511-17 10:41:23
"
1,Jeepney,97.0,"2024511-17 10:41:23
"
1,Jeepney,95.0,"2024511-17 10:41:23
"
1,Jeepney,95.0,"2024511-17 10:41:23
"
1,Jeepney,97.0,"2024511-17 10:41:23
"
1,Jeepney,96.0,"2024511-17 10:41:23
"
1,Jeepney,95.0,"2024511-17 10:41:23
"
1,Jeepney,56.00000000000001,"2024511-17 10:41:23
"
1,Jeepney,27.0,"2024511-17 10:41:23
"
1,Jeepney,24.0,"2024511-17 10:41:23
"
1,Jeepney,74.0,"2024511-17 10:41:23
"
1,Jeepney,68.0,"2024511-17 10:41:23
"
1,Jeepney,74.0,"2024511-17 10:41:23
"
1,Jeepney,79.0,"2024511-17 10:41:23
"
1,Truck,10.0,"2024511-17 10:41:23
"
1,Jeepney,16.0,"2024511-17 10:41:23
"
1,Truck,36.0,"2024511-17 10:41:23
"
1,Truck,18.0,"2024511-17 10:41:23
"
3,Multicab,35.0,"2024511-17 10:41:23
"
3,Multicab,30.0,"2024511-17 10:41:23
"
3,Multicab,56.00000000000001,"2024511-17 10:41:23
"
3,Multicab,75.0,"2024511-17 10:41:29
"
3,Multicab,79.0,"2024511-17 10:41:29
"
3,Multicab,63.0,"2024511-17 10:41:29
"
3,Jeepney,79.0,"2024511-17 10:41:29
"
3,Jeepney,84.0,"2024511-17 10:41:29
"
3,Jeepney,71.0,"2024511-17 10:41:29
"
3,Multicab,46.0,"2024511-17 10:41:29
"
3,Jeepney,46.0,"2024511-17 10:41:29
"
3,Jeepney,73.0,"2024511-17 10:41:29
"
6,Multicab,34.0,"2024511-17 10:41:29
"
6,Jeepney,86.0,"2024511-17 10:41:29
"
6,Jeepney,84.0,"2024511-17 10:41:29
"
6,Jeepney,76.0,"2024511-17 10:41:29
"
6,Jeepney,90.0,"2024511-17 10:41:29
"
6,Jeepney,94.0,"2024511-17 10:41:29
"
6,Jeepney,95.0,"2024511-17 10:41:29
"
6,Jeepney,90.0,"2024511-17 10:41:29
"
6,Jeepney,95.0,"2024511-17 10:41:29
"
6,Jeepney,97.0,"2024511-17 10:41:29
"
6,Jeepney,96.0,"2024511-17 10:41:29
"
6,Jeepney,94.0,"2024511-17 10:41:29
"
6,Jeepney,96.0,"2024511-17 10:41:29
"
6,Jeepney,96.0,"2024511-17 10:41:29
"
6,Jeepney,94.0,"2024511-17 10:41:29
"
6,Jeepney,93.0,"2024511-17 10:41:29
"
6,Jeepney,85.0,"2024511-17 10:41:29
"
6,Jeepney,95.0,"2024511-17 10:41:29
"
6,Jeepney,89.0,"2024511-17 10:41:29
"
6,Jeepney,87.0,"2024511-17 10:41:29
"
6,Jeepney,86.0,"2024511-17 10:41:29
"
6,Jeepney,65.0,"2024511-17 10:41:29
"
6,Jeepney,16.0,"2024511-17 10:41:29
"
8,Car,39.0,"2024511-17 10:41:29
"
8,Car,70.0,"2024511-17 10:41:29
"
8,Car,88.0,"2024511-17 10:41:29
"
8,Car,81.0,
8,Car,68.0,
8,Car,56.00000000000001,
8,Car,78.0,
8,Car,85.0,
8,Car,50.0,
8,Car,60.0,
8,Car,74.0,
8,Car,81.0,
8,Car,57.99999999999999,
8,Car,17.0,
8,Car,40.0,
8,Car,23.0,
8,Car,18.0,
8,Car,12.0,
8,Car,26.0,
8,Car,12.0,
8,Car,24.0,
8,Car,19.0,
8,Car,40.0,
8,Truck,10.0,
10,Tricycle,68.0,
10,Tricycle,49.0,
11,Multicab,47.0,
10,Tricycle,42.0,
11,Multicab,61.0,
10,Tricycle,31.0,
11,Multicab,64.0,
10,Tricycle,61.0,
11,Multicab,90.0,
10,Tricycle,42.0,
11,Multicab,90.0,
11,Multicab,94.0,
11,Multicab,85.0,
11,Multicab,77.0,
11,Multicab,74.0,
11,Multicab,47.0,
11,Multicab,36.0,
11,Multicab,41.0,
11,Multicab,39.0,
11,Truck,25.0,
11,Multicab,13.0,
16,Truck,34.0,
11,Multicab,14.000000000000002,
16,Truck,41.0,
11,Multicab,18.0,
16,Truck,30.0,
16,Truck,61.0,
16,Truck,47.0,
16,Bus,31.0,
16,Bus,20.0,
16,Truck,46.0,
16,Bus,71.0,
16,Bus,62.0,"741
"
16,Bus,83.0,"741
"
16,Bus,92.0,"741
"
16,Bus,76.0,"741
"
16,Bus,82.0,"741
"
16,Bus,78.0,"741
"
20,Bicycle,77.0,"741
"
16,Bus,37.0,"741
"
20,Bicycle,85.0,"741
"
20,Bicycle,88.0,"741
"
20,Bicycle,89.0,"741
"
20,Bicycle,77.0,"741
"
20,Bicycle,53.0,"741
"
20,Bicycle,80.0,"741
"
20,Bicycle,87.0,"741
"
20,Bicycle,78.0,"741
"
20,Bicycle,93.0,"741
"
20,Bicycle,48.0,"741
"
20,Bicycle,81.0,"741
"
20,Bicycle,54.0,"741
"
20,Bicycle,70.0,"741
"
20,Bicycle,80.0,"741
"
20,Bicycle,75.0,"741
"
20,Bicycle,14.000000000000002,"741
"
20,Bicycle,46.0,"741
"
20,Bicycle,21.0,"741
"
20,Bicycle,45.0,"741
"
21,Multicab,84.0,"32024511-17 的

747
"
21,Multicab,89.0,"32024511-17 的

747
"
21,Multicab,56.99999999999999,"32024511-17 的

747
"
21,Multicab,93.0,"32024511-17 的

747
"
21,Multicab,85.0,"32024511-17 的

747
"
21,Multicab,90.0,"32024511-17 的

747
"
21,Multicab,86.0,"32024511-17 的

747
"
21,Multicab,91.0,"32024511-17 的

747
"
21,Multicab,76.0,"32024511-17 的

747
"
21,Multicab,85.0,"32024511-17 的

747
"
21,Multicab,77.0,"32024511-17 的

747
"
21,Multicab,80.0,"32024511-17 的

747
"
21,Multicab,66.0,"32024511-17 的

747
"
21,Multicab,77.0,"32024511-17 的

747
"
21,Multicab,67.0,"32024511-17 的

747
"
21,Multicab,52.0,"32024511-17 的

747
"
21,Multicab,44.0,"32024511-17 的

747
"
21,Bus,24.0,"32024511-17 的

747
"
21,Truck,40.0,"32024511-17 的

747
"
21,Truck,11.0,"32024511-17 的

747
"
21,Truck,40.0,"32024511-17 的

747
"
21,Truck,15.0,"32024511-17 的

747
"
