FRAME,DATE,TIME,BICYCLE,BUS,CAR,JEEPNEY,MOTORCYCLE,MULTICAB,TRICYCLE,TRUCK,VAN
0,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
1,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
2,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
3,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
4,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
5,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
6,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
7,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
8,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
9,2024511-17,10:41:23,0,"2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
","2024511-17 10:41:23
"
