ID,DATE,TIME,DAY_OF_WEEK,DENSITY,CONGENSTION_STATUS,INTERVAL_COUNT,TOTAL_COUNT
4423,2024-11-17,06:05:00,Sunday,0,Light,8,6
4424,2024-11-17,06:05:00,Sunday,0,Light,0,6
4425,2024-11-17,06:05:00,Sunday,0,Light,0,6
4426,2024-11-17,06:05:00,Sunday,0,Light,0,6
4427,2024-11-17,06:05:00,Sunday,0,Light,0,6
4428,2024-11-17,06:05:00,Sunday,0,Light,0,6
4429,2024-11-17,06:05:00,Sunday,0,Light,0,6
4430,2024-11-17,06:05:00,Sunday,0,Light,0,6
4431,2024-11-17,06:05:00,Sunday,0,Light,0,6
4432,2024-11-17,06:05:00,Sunday,0,Light,0,6
4433,2024-11-17,06:05:00,Sunday,0,Light,0,6
4434,2024-11-17,06:05:00,Sunday,0,Light,0,6
4435,2024-11-17,06:05:00,Sunday,0,Light,0,6
4436,2024-11-17,06:05:00,Sunday,0,Light,0,6
4437,2024-11-17,06:05:00,Sunday,0,Light,0,6
9109,2024-11-17,06:10:00,Sunday,0,Light,14,61
9110,2024-11-17,06:10:00,Sunday,0,Light,0,61
9111,2024-11-17,06:10:00,Sunday,0,Light,0,61
9112,2024-11-17,06:10:00,Sunday,0,Light,0,61
9113,2024-11-17,06:10:00,Sunday,0,Light,0,61
9114,2024-11-17,06:10:00,Sunday,0,Light,0,61
9115,2024-11-17,06:10:00,Sunday,0,Light,0,61
9116,2024-11-17,06:10:00,Sunday,0,Light,0,61
9117,2024-11-17,06:10:00,Sunday,0,Light,0,61
9118,2024-11-17,06:10:00,Sunday,0,Light,0,61
9119,2024-11-17,06:10:00,Sunday,0,Light,0,61
9120,2024-11-17,06:10:00,Sunday,0,Light,0,61
9121,2024-11-17,06:10:00,Sunday,0,Light,0,61
9122,2024-11-17,06:10:00,Sunday,0,Light,0,61
9123,2024-11-17,06:10:00,Sunday,0,Light,0,61
9124,2024-11-17,06:10:00,Sunday,0,Light,0,61
13773,2024-11-17,06:15:00,Sunday,0,Light,10,89
13774,2024-11-17,06:15:00,Sunday,0,Light,0,89
13775,2024-11-17,06:15:00,Sunday,0,Light,0,89
13776,2024-11-17,06:15:00,Sunday,0,Light,0,89
