DATE,TIME,BICYCLE,BUS,CAR,JEEPNEY,MOTORCYCLE,MULTICAB,TRICYCLE,TRUCK,VAN,TOTAL
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:05:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:10:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,1
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:25:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,1
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:50:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,00:55:00,0,0,0,0,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,1
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:00:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:05:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:10:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,1
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:15:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:20:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:25:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:30:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:35:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:40:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:45:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:50:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
2024-11-18,01:55:00,0,0,0,1,0,0,0,0,0,0
