ID,VEHICLE,CONFIDENCE
1,JEEP,86
1,JEEP,89
1,JEEP,85
1,JEEP,86
1,JEEP,86
1,JEEP,86
1,JEEP,87
1,JEEP,86
1,JEEP,86
1,JEEP,85
1,JEEP,85
1,JEEP,90
1,JEEP,87
1,JEEP,86
1,JEEP,89
1,JEEP,86
1,JEEP,86
1,JEEP,89
1,JEEP,90
1,JEEP,92
1,JEEP,92
1,JEEP,88
1,JEEP,89
1,JEEP,87
1,JEEP,85
1,JEEP,88
1,JEEP,87
1,JEEP,86
1,JEEP,88
1,JEEP,88
1,JEEP,85
1,JEEP,86
1,JEEP,87
1,JEEP,86
1,JEEP,90
1,JEEP,90
1,JEEP,91
1,JEEP,90
1,JEEP,91
1,JEEP,90
1,JEEP,92
1,JEEP,91
1,JEEP,91
1,JEEP,90
1,JEEP,92
1,JEEP,93
1,JEEP,93
1,JEEP,92
1,JEEP,92
1,JEEP,93
1,JEEP,93
1,JEEP,93
1,JEEP,93
1,JEEP,93
1,JEEP,94
1,JEEP,93
1,JEEP,94
1,JEEP,92
1,JEEP,92
1,JEEP,94
1,JEEP,94
1,JEEP,94
1,JEEP,93
1,JEEP,92
1,JEEP,86
1,JEEP,89
1,JEEP,92
1,JEEP,90
1,JEEP,91
1,JEEP,93
1,JEEP,92
1,JEEP,92
1,JEEP,91
1,JEEP,90
1,JEEP,91
1,JEEP,89
1,JEEP,89
1,JEEP,90
1,JEEP,91
1,JEEP,86
1,JEEP,86
1,JEEP,86
1,JEEP,86
1,JEEP,85
1,JEEP,85
1,JEEP,88
1,JEEP,87
1,JEEP,92
1,JEEP,92
1,JEEP,92
1,JEEP,91
1,JEEP,89
1,JEEP,87
1,JEEP,86
1,JEEP,86
1,JEEP,85
1,JEEP,89
1,JEEP,86
1,MULTICAB,87
1,JEEP,86
1,JEEP,87
1,JEEP,90
1,JEEP,88
1,JEEP,89
1,JEEP,90
1,JEEP,89
1,JEEP,86
1,JEEP,87
1,MULTICAB,88
1,MULTICAB,91
1,JEEP,86
1,JEEP,86
1,MULTICAB,90
1,MULTICAB,91
1,MULTICAB,86
1,JEEP,86
1,JEEP,88
1,JEEP,88
1,JEEP,91
1,JEEP,91
1,JEEP,89
1,JEEP,89
1,JEEP,86
1,JEEP,86
1,JEEP,85
1,JEEP,86
1,MULTICAB,86
1,JEEP,87
1,JEEP,88
1,JEEP,86
1,JEEP,92
1,JEEP,88
1,JEEP,87
1,TRICYCLE,87
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,85
1,TRICYCLE,85
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,85
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,86
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,87
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,89
1,TRICYCLE,89
1,TRICYCLE,89
1,TRICYCLE,89
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,88
1,TRICYCLE,85
1,TRICYCLE,86
1,TRICYCLE,85
1,JEEP,89
1,JEEP,87
1,TRICYCLE,87
1,MULTICAB,86
1,MULTICAB,86
1,MULTICAB,93
1,MULTICAB,94
1,MULTICAB,93
1,MULTICAB,92
1,MULTICAB,86
2,JEEP,90
2,JEEP,89
2,JEEP,85
2,JEEP,87
2,JEEP,87
2,JEEP,92
2,JEEP,92
2,JEEP,87
2,JEEP,86
2,JEEP,86
